Island,Full Name,Local Name,Page Title,Hours of Operation,Service Times,Cost of Admission,Year Founded,Current Use,Denomination,Church Code,Longitude Coordinate,Latitude Coordinate,Intro sentence,History Blurb,Exterior blurb,Bell tower blurb,Floors blurb,Google Map Image,Floor Plan Image,Facade Image,Artifact Group
Burano,Oratorio di S. Barnaba di Burano,San Barnaba in Burano,Church of San Barnaba in Burano,Not Applicable,None,Not Applicable,1800,Closed to the Public,Catholic,BARB,Unknown,Unknown,"The Oratorio di S. Barnaba di Burano, or San Barnaba in Burano as it is locally known, was founded in the year 1800 and is a Catholic church.",,The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of San Barnaba in Burano, including the location of the [[Church Floor Artifacts]].",,,BARB.JPG,
Burano,Chiesa di S. Martino di Burano,San Martino,Church of San Martino,"M-F 8 AM - 12 PM, 3 PM - 7 PM",Unknown,Free,959,Active Church,Catholic,MARB,12.41875,45.484688,"The Chiesa di S. Martino di Burano, or San Martino as it is locally known, was founded in the year 959 and is a Catholic church.","San Martino was originally founded in the 10th century and was later rebuilt in the 16th century, without a façade, as the building abuts several houses. While there isn’t a particular architectural style associated with the church, several surrounding buildings have Veneto-Byzantine panels from the 12th century. ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Martino]]. Please click the link to learn more!,"The image below depicts the floor plan of San Martino, including the location of the [[Church Floor Artifacts]].",MARB_GM.JPG,,MARB.JPG,MARB Artifacts
Cannaregio,Chiesa di Sant'Alvise,Sant'Alvise,Church of Sant'Alvise,M-Sa 10 AM - 5 PM,"M-Sa 6:30 PM; Su 10 AM, 6:30 PM","Chorus Pass for year: 10 €, 7 € students. 1 time, 3 €, 1.50 € students.",1388,Active Church,Catholic,ALVI,12.329014,45.448149,"The Chiesa di Sant'Alvise, or Sant'Alvise as it is locally known, was founded in the year 1388 and is a Catholic church.","The Church of Sant’Alvise was built in the 14th century at the request of the doge’s daughter. She then withdrew to the convent herself along with many other followers form noble Venetian families. The church was restored at the end of the 17th century. In 1807, Napoleon moved nuns from the [[Church of San Caterina]]. The façade is a typical Gothic style building and has a painted ceiling. ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - Sant'Alvise]]. Please click the link to learn more!,"The image below depicts the floor plan of Sant'Alvise, including the location of the [[Church Floor Artifacts]].",ALVI_GM.JPG,ALVI_FP.JPG,ALVI.JPG,ALVI Artifacts
Cannaregio,Chiesa Anglicana,I Anglicana,Church of I Anglicana,Th 10:30 AM - 1 PM,"2nd, 4th Sunday each month 5 PM",Free,1525,Active Church,Lutheran,ANGL,12.336308,45.440265,"The Chiesa Anglicana, or I Anglicana as it is locally known, was founded in the year 1525 and is a Lutheran church.",In 1713 the Scuola dell’Angelo Custode was begun by Andrea Tirali. Only 100 years later the scuola was suppressed and then bought by a German merchant for the use of converting it to a German Protestant church. The building is currently used as an Evangelical Lutheran church. ,The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of I Anglicana, including the location of the [[Church Floor Artifacts]].",ANGL_GM.JPG,,ANGL.JPG,
Cannaregio,Chiesa di S. Apostoli,I Santi Apostoli,Church of I Santi Apostoli,Unknown,"M-F 6:30 PM; Su 10:30 AM, 5 PM",Free,1020,Active Church,Catholic,APOS,12.329012,45.453628,"The Chiesa di S. Apostoli, or I Santi Apostoli as it is locally known, was founded in the year 1020 and is a Catholic church.","The church of Santi Apostoli is rumored to have been founded by the Bishop of Oderzo, St. Magnus, in the 7th century. He was inspired to build the church after seeing twelve cranes on the sight, to which he took as a symbol of the twelve apostles. After a fire, the church was rebuilt in the 12th century, and then again in the 16th century. Most of the church’s features were added in an 18th century restoration. ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - I Santi Apostoli]]. Please click the link to learn more!,"The image below depicts the floor plan of I Santi Apostoli, including the location of the [[Church Floor Artifacts]].",APOS_GM.JPG,APOS_FP.JPG,APOS.JPG,APOS Artifacts
Cannaregio,Chiesa di S. Maria Assunta dei Gesuiti,I Gesuiti,Church of I Gesuiti,"M-F 10 AM - 12 PM, 3:30 PM - 5:30 PM",M-F 6:30 PM; Sa 5:30 PM; Su 10 AM,Free,1170,Active Church,Catholic,ASSG,12.339254,45.443633,"The Chiesa di S. Maria Assunta dei Gesuiti, or I Gesuiti as it is locally known, was founded in the year 1170 and is a Catholic church.","This church was first founded here in the 12th century by the order of the Crucifers. The church and monastery were destroyed by fires and rebuilt in the 13th and 16th century. The church was acquired by the Jesuits in the mid-17th century after it was suppressed under the Crucifers.  The Jesuits were later suppressed in the 18th century, and then the church and monastery were taken over by Napoleon in 1808 and were converted to barracks. The façade is a very ornate with carvings and sculptures, typical of the Baroque style. ",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - I Gesuiti]]. Please click the link to learn more!,"The image below depicts the floor plan of I Gesuiti, including the location of the [[Church Floor Artifacts]].",ASSG_GM.JPG,ASSG_FP.JPG,ASSG.JPG,ASSG Artifacts
Cannaregio,Chiesa di S. Bonaventura,San Bonaventura,Church of San Bonaventura,Not Applicable,None,Not Applicable,1620,Under Construction,Catholic,BONA,12.326754,45.447935,"The Chiesa di S. Bonaventura, or San Bonaventura as it is locally known, was founded in the year 1620 and is a Catholic church.","San Bonaventura was established in 1620 by a Fanciscan order of monks call the Reformati. The monks were originally from the island San Francesco del Deserto in Venice’s Lagoon. Both the monastery and church they established were suppressed in the early 19th century. In 1859, the location was bought by a countess who established a convent with a small chapel. The convent served as a children’s hospital in the early 20th century.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Bonaventura]]. Please click the link to learn more!,"The image below depicts the floor plan of San Bonaventura, including the location of the [[Church Floor Artifacts]].",BONA_GM.JPG,BONA_FP.JPG,BONA.JPG,
Cannaregio,Chiesa di S. Canciano,San Canciano,Church of San Canciano,Unknown,"M-F 7 PM; Su 8:30 AM, 10:30 AM, 7 PM",Free,1351,Active Church,Catholic,CANC,12.338539,45.440161,"The Chiesa di S. Canciano, or San Canciano as it is locally known, was founded in the year 1351 and is a Catholic church.","San Cancian was first established in the 11th century and dedicated to three martyred saints, Canziano, Canzio and Canzionello. The church has since undergone numerous restorations, the latest of which was in the mid-16th century. The façade alone was built in the early 18th century by Antonio Gaspari. The funder of this project, Michele Tommasi, is commemorated in a bust over the main entrance. The church’s many doors and windows bring in lots of light and add to the church’s open feeling. The façade was damaged in a 1998 fire, but was undergoing restoration as of 2008.",The façade in place today can be seen in the image located at the top of the page.,The bell tower associated with this church is [[Bell Tower - San Canciano]]. Please click the link to learn more!,"The image below depicts the floor plan of San Canciano, including the location of the [[Church Floor Artifacts]].",CANC_GM.JPG,,CANC.JPG,CANC Artifacts
Cannaregio,Chiesa di S. Maria Madre del Redentore,Le Cappuccine,Church of Le Cappuccine,Not Applicable,None,Not Applicable,1623,Closed to the Public,Catholic,CAPP,12.323993,45.447246,"The Chiesa di S. Maria Madre del Redentore, or Le Cappuccine as it is locally known, was founded in the year 1623 and is a Catholic church.","Consecrated in 1623, the Church of Santa Maria dei Redentore was founded with a convent of Capuchin nuns. The nuns remained on the property until 1911, when the convent was suppressed. While the convent itself is no longer standing, it has been replaced with a school. While the church was founded by Capuchin’s there is a Franciscan coat of arms carved on the exterior of the building, to the right of the entrance.",The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of Le Cappuccine, including the location of the [[Church Floor Artifacts]].",CAPP_GM.JPG,CAPP_FP.JPG,CAPP.JPG,CAPP Artifacts
Cannaregio,Suore Dorotee,Suore Dorotee,Suore Dorotee,Not Applicable,None,Not Applicable,1838,Nun Institute,Catholic,DORO,12.325753,45.445719,"The Suore Dorotee, or Suore Dorotee as it is locally known, was founded in the year 1838 and is a Catholic church.",,The façade in place today can be seen in the image located at the top of the page.,There is no bell tower associated with this church.,"The image below depicts the floor plan of Suore Dorotee, including the location of the [[Church Floor Artifacts]].",,,DORO.JPG,
