Codice Chiesa;Età;Chitata da
AGNE;1081;G. Tassini
AGNE;1370;The Churches of Venice
AGNE;1370;Venice and its Lagoon
ALVI;1388;Venice and its Lagoon
ANDR;1329;Chiese di Venezia
ANDR;1329;G. Tassini
ANDR;1329;Venice and its Lagoon
ANDR;1600;Chiese di Venezia
ANDR;1650;Venice and its Lagoon
ANGE;1150;G. Lorenzetti
ANGL;1525;M. Bortoletto
ANGM;1069;G. Tassini
ANNA;1297;G. Tassini
ANNA;1634;Venice and its Lagoon
ANNU;900;Venice and its Lagoon
ANNU;1850;Venice and its Lagoon
ANTN;650;G. Tassini
ANTN;1650;Venice and its Lagoon
ANTP;1346;G. Tassini
APON;1034;G. Tassini
APON;1050;Venice and its Lagoon
APON;1450;Venice and its Lagoon
APOS;1020;Chiese di Venezia
APOS;1575;Venice and its Lagoon
APOS;1750;Venice and its Lagoon
APOS;1950;Chiese di Venezia
ASSG;1170;G. Tassini
ASSG;1657;Venice and its Lagoon
ASSM;850;G. Tassini
ASST;639;M. Bortoletto
BARB;1800;M. Bortoletto
BARN;1105;G. Tassini
BARN;1749;Venice and its Lagoon
BARN;1776;Chiese di Venezia
BART;840;G. Tassini
BART;1150;Venice and its Lagoon
BART;1723;Venice and its Lagoon
BASI;828;G. Tassini
BASI;829;Venice and its Lagoon
BASI;1550;Venice and its Lagoon
BASS;1073;G. Tassini
BASS;1670;G. Tassini
BASS;1670;Venice and its Lagoon
BASS;1951;Venice and its Lagoon
BENE;1005;G. Tassini
BENE;1050;Venice and its Lagoon
BENE;1685;Venice and its Lagoon
BIAG;1052;G. Tassini
BIAG;1750;Venice and its Lagoon
BONA;1620;G. Tassini
BONA;1823;Venice and its Lagoon
BRAG;750;Venice and its Lagoon
BRAG;1090;Chiese di Venezia
BRAG;1475;Chiese di Venezia
BRAG;1728;Venice and its Lagoon
CADI;1272;G. Tassini
CADI;1473;Venice and its Lagoon
CANC;1041;Chiese di Venezia
CANC;1351;G. Tassini
CANC;1655;Chiese di Venezia
CANC;1705;Venice and its Lagoon
CAPP;1623;Venice and its Lagoon
CARI;1120;G. Tassini
CARI;1450;Venice and its Lagoon
CARI;1922;Venice and its Lagoon
CARM;1348;G. Tassini
CARM;1350;Venice and its Lagoon
CARM;1514;Chiese di Venezia
CASS;950;G. Tassini
CASS;950;Venice and its Lagoon
CASS;1105;G. Tassini
CASS;1650;Venice and its Lagoon
CATM;1298;M. Bortoletto
CONV;1550;G. Tassini
COSM;1501;M. Bortoletto
CROA;1451;M. Bortoletto
CROC;1508;G. Tassini
ELEM;1071;G. Tassini
ELEM;1529;Venice and its Lagoon
ELEN;1250;Venice and its Lagoon
ELEN;1515;Venice and its Lagoon
EUFE;865;G. Tassini
EVAN;970;G. Tassini
EVAN;1301;Venice and its Lagoon
EVAN;1550;Venice and its Lagoon
FANT;650;Chiese di Venezia
FANT;1507;Venice and its Lagoon
FANT;1564;Chiese di Venezia
FANT;1564;Venice and its Lagoon
FAVA;1450;G. Tassini
FAVA;1450;Venice and its Lagoon
FAVA;1705;The Churches of Venice
FAVA;1753;Venice and its Lagoon
FELI;960;G. Tassini
FELI;966;Chiese di Venezia
FELI;1531;Venice and its Lagoon
FELI;1957;Chiese di Venezia
FORM;864;G. Tassini
FORM;1542;Venice and its Lagoon
FORM;1604;Chiese di Venezia
FOSC;873;G. Tassini
FOSC;1050;Chiese di Venezia
FOSC;1679;Venice and its Lagoon
FOSC;1733;Chiese di Venezia
FOSC;1733;Venice and its Lagoon
FRAR;1227;G. Tassini
FRAR;1250;Venice and its Lagoon
FRAR;1469;Venice and its Lagoon
GALL;1581;G. Tassini
GALL;1581;Venice and its Lagoon
GALL;1703;Venice and its Lagoon
GERE;1050;Chiese di Venezia
GERE;1050;G. Tassini
GERE;1050;Venice and its Lagoon
GERE;1848;Venice and its Lagoon
GERE;1984;Chiese di Venezia
GESU;1493;G. Tassini
GESU;1494;Venice and its Lagoon
GESU;1726;Chiese di Venezia
GESU;1736;Venice and its Lagoon
GIAC;1178;M. Bortoletto
GIAC;1601;Venice and its Lagoon
GIGL;900;G. Tassini
GIGL;900;The Churches of Venice
GIGL;1650;Chiese di Venezia
GIGL;1678;The Churches of Venice
GIGL;1774;Venice and its Lagoon
GIMA;1061;M. Bortoletto
GIOA;1418;G. Tassini
