Codice Chiesa;Codice Pavimenti;Quadrante;Data;Quota;Cappela;Primario Stile;# Passi alla Cappella;Altare 1;# Passi alla Altare 1;Quota di Altare 1;Altare 2;# Passi alla Altare 2;Quota di Altare 2;Nota;Entrata?;Contenere Banco?;Contenere Reperti?;Numero di Reperti;MAPINFO_ID
AGNE;AGNE_A;A;22/06/2004;1,06;VERO;;0,00;VERO;2;1,30;FALSO;0;0,00;;FALSO;FALSO;FALSO;;1
AGNE;AGNE_B;B;22/06/2004;1,11;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;VERO;VERO;FALSO;;2
AGNE;AGNE_C;C;22/06/2004;1,14;FALSO;;0,00;VERO;2;1,37;FALSO;0;0,00;;VERO;FALSO;FALSO;;3
AGNE;AGNE_D;D;22/06/2004;1,09;FALSO;;0,00;VERO;2;1,38;FALSO;0;0,00;;FALSO;FALSO;FALSO;;4
AGNE;AGNE_E;E;22/06/2004;1,11;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;VERO;FALSO;;5
AGNE;AGNE_F;F;22/06/2004;1,13;FALSO;;0,00;VERO;2;1,38;FALSO;0;0,00;;FALSO;FALSO;FALSO;;6
AGNE;AGNE_G;G;22/06/2004;1,11;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;7
AGNE;AGNE_H;H;22/06/2004;1,10;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;about 90 percent covered with wooden platform;FALSO;VERO;FALSO;;8
AGNE;AGNE_I;I;22/06/2004;1,12;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;9
AGNE;AGNE_J;J;22/06/2004;1,30;VERO;;2,00;VERO;3;1,76;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;10
AGNE;AGNE_K;K;22/06/2004;1,54;VERO;Wooden Floor;2,00;VERO;0;1,54;FALSO;0;0,00;main alter, floor in excellent condition, raised floor;FALSO;FALSO;VERO;;11
AGNE;AGNE_M;M;22/06/2004;1,27;VERO;Smaller Red and White Checkered;2,00;VERO;3;1,74;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;12
ALVI;ALVI_A;A;04/07/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;13
ALVI;ALVI_B;B;04/07/2002;1,35;FALSO;;;FALSO;;;FALSO;;;45% obscured by large pews;FALSO;FALSO;FALSO;;14
ALVI;ALVI_C;C;04/07/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;15
ALVI;ALVI_D;D;04/07/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;16
ALVI;ALVI_E;E;04/07/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;17
ALVI;ALVI_F;F;04/07/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;18
ALVI;ALVI_G;G;04/07/2002;1,35;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;19
ANNU;ANNU_A;A;05/07/2004;1,45;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;FALSO;FALSO;FALSO;;1329
ANNU;ANNU_B;B;05/07/2004;1,45;FALSO;;0,00;VERO;1;0,00;FALSO;0;0,00;contains alter with no steps;VERO;VERO;FALSO;;1330
ANNU;ANNU_C;C;05/07/2004;1,53;VERO;;1,00;VERO;0;1,53;FALSO;0;0,00;main alter;FALSO;FALSO;FALSO;;1331
APOS;APOS_A;A;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;20
APOS;APOS_B;B;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;21
APOS;APOS_C;C;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;22
APOS;APOS_D;D;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;23
APOS;APOS_E;E;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;24
APOS;APOS_F;F;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;25
APOS;APOS_G;G;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;26
APOS;APOS_H;H;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;27
APOS;APOS_I;I;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;28
APOS;APOS_J;J;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;29
APOS;APOS_K;K;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;30
APOS;APOS_L;L;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;31
APOS;APOS_M;M;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;32
APOS;APOS_N;N;02/07/2002;1,25;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;33
ASSG;ASSG_A;A;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;34
ASSG;ASSG_B;B;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;35
ASSG;ASSG_C;C;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;36
ASSG;ASSG_D;D;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;37
ASSG;ASSG_E;E;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;38
ASSG;ASSG_F;F;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;39
ASSG;ASSG_G;G;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;40
ASSG;ASSG_H;H;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;41
ASSG;ASSG_I;I;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;42
ASSG;ASSG_J;J;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;43
ASSG;ASSG_K;K;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;44
ASSG;ASSG_L;L;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;45
ASSG;ASSG_M;M;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;46
ASSG;ASSG_N;N;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;47
ASSG;ASSG_O;O;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;48
ASSG;ASSG_P;P;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;49
ASSG;ASSG_Q;Q;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;50
ASSG;ASSG_R;R;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;51
ASSG;ASSG_S;S;20/06/2002;1,89;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;52
BARN;BARN_A;A;11/07/2002;1,55;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;53
BARN;BARN_B;B;11/07/2002;1,55;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;54
BARN;BARN_C;C;11/07/2002;1,55;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;55
BARN;BARN_D;D;11/07/2002;1,55;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;56
BARN;BARN_E;E;11/07/2002;1,55;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;57
BARN;BARN_F;F;11/07/2002;1,55;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;58
BARN;BARN_G;G;11/07/2002;1,55;FALSO;;;FALSO;;;FALSO;;;;FALSO;FALSO;FALSO;;59
BART;BART_A;A;07/07/2004;1,65;VERO;;1,00;VERO;2;1,94;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;1378
BART;BART_B;B;07/07/2004;1,50;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;;VERO;FALSO;VERO;;1379
BART;BART_C;C;07/07/2004;1,63;VERO;;1,00;VERO;2;1,94;FALSO;0;0,00;side chapel;FALSO;FALSO;FALSO;;1380
BART;BART_D;D;07/07/2004;1,53;FALSO;;0,00;FALSO;0;0,00;FALSO;0;0,00;carpet residue on tiles;FALSO;FALSO;VERO;;1381
